domain,temp_diurnal_range,precip_seasonality,solar_radiation,soil_pH
AF,4.38526549829731,1.42640757295923,0.299072093733754,0.40686761831151
AF,3.95433180544112,0.896059828630558,0.37531234491722,-0.013169225878887
AF,3.60422632469987,0.267362250278293,0.552513554635052,0.0155000367989123
out,0.995008254828824,0.0167565990456259,1.0884456330293,0.0630961019853431
AF,0.950117148689916,0.167843810070032,0.322989228584736,0.520078907194026
AF,0.105995568347029,0.493048921102163,0.272338106749087,0.171815932577572
AF,0.0149382916516046,0.584901979034837,0.45806598801451,0.25906726779331
AF,0.282583324696204,0.0161873353075569,0.535748058977569,0.144183546522251
AF,0.00179315260130714,0.496180671701557,0.496323418882984,0.416103706403658
AF,0.228670323696421,0.125489818800884,0.631815801639525,0.360890657272482
out,4.07824525789679,3.01945625144312,0.200080398889759,0.0393849295139666
AF,1.52361888523256,0.575520496312929,0.885254674871396,0.258213735655534
AF,4.7707815199728,2.11534567086101,0.224538829437184,0.150444309915907
AF,2.95414279867305,1.39866769263737,0.137981979335671,0.0265883511317165
out,0.0460723520993208,3.86769499254752e-05,0.0263031789270581,0.0216579494087686
AF,0.0258611048878676,0.640935739491949,0.33059441657857,0.358398971343477
AF,4.22507270354596,0.000482664207778402,2.21702601088017,0.0493680289202419
out,1.38054621051718,0.000216271853066646,2.33124017003509,0.123154998546019
out,2.31847630184371,0.0529437255616935,1.47678319907169,0.0523859045033889
AF,3.73637653103542,0.0352587905888872,1.67655921685459,0.0469639363385925
AF,1.87193300005844,0.0448661962228203,1.68140308236815,0.253315222740472
out,1.52998694181481,0.0613415657582322,1.34350639703568,0.233491698917283
AF,4.21446386361829,0.0316827327156349,2.13317804582048,0.0885192445758104
AF,3.7722783317685,2.85378763566641,0.105516438425795,0.0203009742239372
AF,0.213346742422203,0.990432802907768,0.0139041201423012,0.135808918032688
AF,0.00573243644587355,0.0359704502654749,0.0399944102971489,0.399953172918675
out,1.51725082865031,0.0430870470313512,1.19041362893014,0.188434445685239
AF,3.1412196650728,2.13046001283235,0.179445381263471,-0.00765133714066414
AF,0.332324357991784,0.0841442782875717,0.771855864634897,0.175923516134539
AF,0.0250198297829056,0.216016669656085,0.133074928138417,0.091288244017838
AF,0.0300674804126777,0.538014517495503,0.212072758004188,0.554756251386931
AF,0.170645580351791,1.03671757441448,0.129373784768648,0.0795099389348078
out,1.4002454662451,0.00836035892911589,1.81961316916294,0.126500220233972
AF,0.0408057807381562,1.0446699746991,0.0837659893899867,0.111726566491673
AF,0.603057635554442,0.338852781634231,0.542873405171495,0.253302335627116
AF,0.909651522995853,0.921472223392047,0.00270898424227968,0.0241116006966442
AF,1.42363833242202,0.0686424805593789,0.63422630476924,0.188974648236084
