species,range
albicans,1445.58010448276
alborufescens,591.473098943296
amnicola,87.052414282797
angelana,1.767055992848
argyrophylla,792.671271121418
atlantica,6.4763289624195
baumgratziana,12.4207392180905
brunnea,25.981658510634
budlejoides,121.445776608634
burchellii,197.880388464257
capixaba,0.358363024694497
castaneiflora,2.31608698108101
chrysophylla,439.437973629708
cinerascens,102.40412186849
cipoensis,0.148545757478001
corallina,85.554227257755
cowanii,165.647868685813
cubatanensis,104.60197156881
cyathanthera,32.1339197321569
dichrophylla,350.993639826623
discolor,62.5472936872186
dispar,362.19956747586
dura,0.00732281347450042
fallax,880.168185059042
fasciculata,41.3232096035808
ferruginata,271.299329071929
flammea,234.025599444561
formosa,50.7102515160964
heliotropoides,166.406613263672
hyemalis,65.1257260189065
hypoleuca,467.934125058159
kollmannii,0.0301472451434983
kriegeriana,0.277211206995002
lepidota,941.279375675669
longispicata,280.078278686521
lourteigiana,223.506694505
lymanii,15.6089102000108
macrothyrsa,528.817027938429
macuxi,81.9583158328725
mayarae,242.113481054351
mellina,3.17878382402901
multispicata,411.916632586246
navioensis,232.624306036912
octopetala,12.5680496035421
penduliflora,0.0413728633524981
pepericarpa,100.668968738001
petroniana,14.8663300824775
polyandra,16.1516728620917
pterocaulon,146.082619752466
punctata,1013.78605669042
racemifera,17.318656486335
robusta,1.10683250486401
rondoniensis,46.8884444458204
rufescens,575.814895512998
ruficalyx,646.556264675875
ruschiana,0.504037756833995
sclerophylla,35.92174769943
secundiflora,9.416904314694
serialis,612.852281498213
setosociliata,5.03597178949698
shepherdii,13.51471299093
stenostachya,1218.64769670055
suberosa,0.3649134797725
tiliifolia,114.378762537115
valtheri,46.522019861753
willdenowii,15.4658356942816
