theta_1,se_1,theta_2,se_2,theta_3,se_3,alpha_1,sigma_sq_1,alpha_2,sigma_sq_2,alpha_3,sigma_sq_3
21.1939044103933,6.79625959784949,378.248776042638,96.1411072780303,280.554165339151,51.0918694756657,9.97906145268704,20593.0687968712,9.97906145268704,3400079.25596424,9.97906145268704,1202251.69998799
17.7129510783564,5.37691402145166,436.147881452095,118.858014404095,289.229083879939,56.2690664680593,1.85464868731423,2183.33874622596,1.85464868731423,790220.489648403,1.85464868731423,260584.096082271
21.5475419610626,6.54780422327753,380.843418022664,106.334735413777,282.306517456735,53.5447186111716,48.9289121615047,96470.4821338776,48.9289121615047,20213781.569779,48.9289121615047,6714997.16863334
22.4515878682737,7.29753006435207,377.684433177792,98.8970155353326,286.369275297386,52.8821189558488,4.56872037642546,9758.57832280092,4.56872037642546,1529064.05114881,4.56872037642546,581411.665258194
21.8077889362464,10.0410321131002,999.162968294005,259.491615972873,289.251653608241,59.1610930963351,0.601538976486951,253.539135705247,0.379177342113336,581616.642374911,0.451658171754021,64543.2366566016
20.8651814502636,6.51241222227239,387.067415397358,93.6271799047406,282.102069290154,52.4896276117832,6.12548765939066,11290.398696007,6.12548765939066,1923829.5519317,6.12548765939066,816471.731646543
-28.8306097779237,74.5595436988856,36.359243476222,15.2600503740727,287.714621959202,116.413273948861,0.517437516577313,13270.022985283,1.7224820442167,0.0630191117349664,0.173089131642508,48109.7442237976
20.2039647212958,7.26550129419063,378.009020485432,91.0149369384594,282.519148174191,48.4593207233609,5.80325080032566,12368.4193583148,5.80325080032566,1762551.25304997,5.80325080032566,659443.64946712
20.6783718354669,6.73106028831369,437.049698898017,108.17747604818,282.684022498546,50.438488116608,1.89907368839534,3520.54620485812,1.89907368839534,656701.900660038,1.89907368839534,230721.000305945
21.0390988171972,6.4464461898254,389.927446591712,101.021598599099,282.45334275676,50.3369944381809,14.5521743322614,27310.4332326898,14.5521743322614,5401855.67893369,14.5521743322614,1779995.64585372
20.1248031090807,12.8200633920215,209.988858058449,106.721652458081,259.19510363878,78.1875466777014,0.578176813726744,542.312222422903,0.558284794862742,22705.8188090635,0.298746482184524,56474.4357076766
22.5339326320013,7.48296667510164,443.769026770652,115.710249106987,292.746748265642,57.1948927538579,1.25166877709117,2590.19907531297,1.25166877709117,413054.311210428,1.25166877709117,173676.916317573
21.4132944314578,6.51711831160003,369.52124826456,100.786574609575,282.528279441136,49.7257821174657,11.0483685448126,20358.646126049,11.0483685448126,4225549.6556848,11.0483685448126,1314122.29622042
17.3648433714414,5.68490917473292,418.007225445204,102.568850825617,290.238405042581,56.0223901968855,1.55877716751986,1813.44771023832,1.55877716751986,527813.61764149,1.55877716751986,215343.558971404
21.2484807351307,6.78728977931566,374.580297324606,94.1787925594374,281.513961873802,49.6104665237283,19.8781879962857,40740.0095911812,19.8781879962857,6690761.12355015,19.8781879962857,2338731.34677876
21.283021094394,7.16900649158238,408.33299544416,105.304089779274,285.641485076622,54.992826627513,3.21365345033051,6857.45027765295,3.21365345033051,1142645.99036134,3.21365345033051,442044.832139527
21.306774564159,6.88978926054961,388.105375135864,94.7312970269361,284.392596444638,53.3755736140954,4.19085237349641,8161.18313853895,4.19085237349641,1331058.24679181,4.19085237349641,562008.004741528
22.2922854896337,7.310504340605,403.78601360873,110.03315725912,283.224326533567,54.3265558662727,2.29919901315041,4831.64762787229,2.29919901315041,834181.420220542,2.29919901315041,309663.741337362
20.998900393539,7.1313943444824,379.694085162684,99.0926774351772,287.671513347111,55.2618798332418,3.85070517945929,8099.66017705057,3.85070517945929,1360102.19107268,3.85070517945929,518628.810209989
22.0106114126292,7.88408358129801,83.757905317518,32.4567540206251,274.722913472115,68.7170400542729,1.17193842101494,1079.1942046127,1.43542183466597,782.255879149681,0.585810261144351,100919.165342591
20.8455451140329,6.69023486551453,391.159055268964,98.4028413119074,281.605190113971,51.5406365110165,8.04644330108175,15863.9209862787,8.04644330108175,2768574.07880966,8.04644330108175,1029800.28673649
22.1408512482115,7.15415339813494,375.619670820806,102.051936522543,284.145433866971,54.5814791160745,4.00167645949701,8559.77094504408,4.00167645949701,1448323.17300394,4.00167645949701,540445.557338563
-15.9826755029332,26.9550841443793,72.4221096041931,28.3199209192471,219.874160825239,115.654524230328,0.358689402440425,2865.05333666724,0.882308030480118,79.9694486372388,0.110392776390937,35745.0970968352
21.8674617480947,7.92819810528786,339.674500847714,103.344292587708,289.368631625065,56.1908466046834,2.03179994053375,4552.00344004767,2.03179994053375,772802.60837143,2.03179994053375,288362.76700509
10.877797652398,16.2031070562669,57.1186804361938,25.5139258883843,301.335700813767,184.392419512107,0.629825901662181,747.421548539708,1.16747818851233,98.0684299317757,1.5532029734016e-09,42439.0469795853
21.9025011702165,7.00680801822424,361.726387710477,99.2693763036833,289.479954960365,55.0929554298289,3.74087696372857,7732.58339640134,3.74087696372857,1359411.47548206,3.74087696372857,492566.002764334
21.5231635815683,7.17402458161676,397.687013843273,101.4236629538,286.071275742013,54.8078707288432,2.70910351889728,5777.74766054411,2.70910351889728,933707.707041243,2.70910351889728,371357.647890225
21.8948122059068,7.13262966665416,373.638232465944,98.0274378734506,278.582298020029,52.5039593567358,4.97523813596968,10090.210246314,4.97523813596968,1780528.87085204,4.97523813596968,640681.029926109
15.3742972765769,14.8991118140518,71.2984859215559,33.955308351732,304.579962525965,92.4058774426341,0.747684122702229,399.669695059588,1.03282948936232,470.711247090919,0.25929906403521,56283.6838386247
