model,theta,se,alpha,sigma_sq
BM1,4.44367751539186,3.49877521022023,NA,13.7995718585912
BM1,4.03997390585386,2.76145829324683,NA,7.66245760610537
BM1,4.32465719057185,2.73830364951022,NA,7.30229506491849
BM1,3.83628455022821,3.14991114732697,NA,13.4018271917397
BM1,4.51480077594354,3.29540208607155,NA,12.0522878842631
BM1,4.31755513320706,2.47112421366522,NA,5.81280231691354
BM1,3.97060269686206,2.69479427009477,NA,9.80168704250922
BM1,4.16587295798468,3.2658745915401,NA,10.9457260842724
BM1,4.09357779739194,3.04599219716092,NA,10.5209544739923
BM1,4.06537324420909,3.11333056738247,NA,10.7375542549093
BM1,4.06988073671509,2.97602940587921,NA,8.06554224857966
BM1,4.36730230928545,3.07196461049331,NA,8.25076392461659
BM1,4.25169918186957,2.57791649859279,NA,7.00239545361413
BM1,3.90074063413612,2.9895425125102,NA,7.3978225632742
BM1,4.25462411657065,2.3642784988452,NA,6.90103065848823
BM1,4.22923851851858,3.4261544859305,NA,14.5585318515342
BM1,4.15548097463859,2.64678673095119,NA,8.46581327164318
