anc_node,state,anc_node_ages,anc_hvolume
67,other,-6.28349,4.52912832513059
68,other,-5.66415,-5.63742560220556e+113
69,other,-5.35805,4.75274626740913e+113
70,other,-3.34873,2.69645968170942
71,other,-3.15978,2.69645968170942
72,other,-2.55754,2.69645968170942
73,AFother,-0.0918199999999993,2.69645968170942
74,other,-1.83731,2.69645968170942
75,other,-1.17249,2.69645968170942
76,other,-3.12021,2.69645968170942
77,other,-2.62659,2.69645968170942
78,other,-1.3024,2.69645968170942
79,other,-0.524089999999999,2.69645968170942
80,other,-2.90089,2.69645968170942
81,other,-3.33927,2.69645968170942
82,other,-5.8285,2.69645968170942
83,other,-5.11224,2.69645968170942
84,other,-5.00924,2.69645968170942
85,other,-4.42446,2.69645968170942
86,other,-3.01472,2.69645968170942
87,other,-1.91189,2.69645968170942
88,other,-1.06851,2.69645968170942
89,other,-0.88223,2.69645968170942
90,other,-0.0579199999999993,2.69645968170942
91,other,-2.38781,2.69645968170942
92,other,-1.55154,2.69645968170942
93,AFother,-0.27304,2.69645968170942
94,other,-4.10295,2.69645968170942
95,other,-2.61995,2.69645968170942
96,other,-2.03093,2.69645968170942
97,other,-1.98665,2.69645968170942
98,AFother,-1.51455,2.69645968170942
99,AF,-1.43121,2.69645968170942
100,AF,-0.44602,2.69645968170942
101,AF,-0.31244,2.69645968170942
102,AFother,-4.94523,2.69645968170942
103,AF,-3.22813,2.69645968170942
104,AF,-2.55785,2.69645968170942
105,AF,-2.34965,2.69645968170942
106,AF,-2.07157,2.69645968170942
107,AF,-1.69413,2.69645968170942
108,AFother,-1.09275,2.69645968170942
109,AFother,-0.48234,2.69645968170942
110,AF,-1.07132,2.69645968170942
111,AF,-0.687099999999999,2.69645968170942
112,AF,-0.54047,2.69645968170942
113,AFother,-0.42556,2.69645968170942
114,AF,-1.98054,2.69645968170942
115,AF,-2.10872,2.69645968170942
116,AF,-1.82055,2.69645968170942
117,AF,-1.64859,2.69645968170942
118,AF,-1.6795,2.69645968170942
119,AF,-1.55968,2.69645968170942
120,AF,-0.74445,2.69645968170942
121,AF,-0.46709,2.69645968170942
122,AF,-0.410979999999999,2.69645968170942
123,AF,-1.127,2.69645968170942
124,AF,-1.6139,2.69645968170942
125,AF,-1.20244,2.69645968170942
126,AF,-2.97142,2.69645968170942
127,AF,-2.26106,2.69645968170942
128,AF,-1.28072,2.69645968170942
129,AF,-1.35041,2.69645968170942
130,AF,-1.88551,2.69645968170942
131,AFother,-2.30452,2.69645968170942
67,other,-9.33119,4.75368751986987
68,other,-8.60945,-1.79363451651507e+109
69,other,-8.29309,4.28617287504708e+108
70,other,-5.82262,2.69645968170942
71,other,-5.50617,2.69645968170942
72,other,-4.87444,2.69645968170942
73,AFother,-0.24667,2.69645968170942
74,other,-2.03006,2.69645968170942
75,other,-0.59441,2.69645968170942
76,other,-5.24905,2.69645968170942
77,other,-5.02736,2.69645968170942
78,other,-3.44111,2.69645968170942
79,other,-2.56214,2.69645968170942
80,other,-4.20799,2.69645968170942
81,other,-6.1548,2.69645968170942
82,other,-8.32759,2.69645968170942
83,other,-7.10997,2.69645968170942
84,other,-6.01921,2.69645968170942
85,other,-3.56411,2.69645968170942
86,other,-2.356,2.69645968170942
87,other,-1.0765,2.69645968170942
88,other,-0.63214,2.69645968170942
89,other,-0.481669999999999,2.69645968170942
90,other,-2.05879,2.69645968170942
91,other,-5.94025,2.69645968170942
92,other,-1.95584,2.69645968170942
93,AFother,-0.320819999999999,2.69645968170942
94,other,-3.38815,2.69645968170942
95,other,-4.44452,2.69645968170942
96,other,-3.94965,2.69645968170942
97,AFother,-3.06037,2.69645968170942
98,AF,-2.99813,2.69645968170942
99,AF,-2.83487,2.69645968170942
100,AF,-0.866239999999999,2.69645968170942
101,AF,-0.29467,2.69645968170942
102,AFother,-6.75658,2.69645968170942
103,AF,-5.17371,2.69645968170942
104,AF,-5.04561,2.69645968170942
105,AF,-4.27817,2.69645968170942
106,AF,-3.77009,2.69645968170942
107,AF,-3.04594,2.69645968170942
108,AF,-2.49384,2.69645968170942
109,AFother,-2.19071,2.69645968170942
110,AFother,-0.617469999999999,2.69645968170942
111,AF,-1.94808,2.69645968170942
112,AF,-1.23267,2.69645968170942
113,AF,-1.002,2.69645968170942
114,AFother,-0.27336,2.69645968170942
115,AF,-2.77338,2.69645968170942
116,AF,-3.07227,2.69645968170942
117,AF,-2.95376,2.69645968170942
118,AF,-2.63654,2.69645968170942
119,AF,-2.83784,2.69645968170942
120,AF,-2.36365,2.69645968170942
121,AF,-0.78013,2.69645968170942
122,AF,-0.49452,2.69645968170942
123,AF,-0.12242,2.69645968170942
124,AF,-2.65248,2.69645968170942
125,AF,-1.89736,2.69645968170942
126,AF,-1.31506,2.69645968170942
127,AF,-1.42888,2.69645968170942
128,AF,-2.26365,2.69645968170942
129,AF,-1.79241,2.69645968170942
130,AFother,-2.37572,2.69645968170942
131,other,-4.53892,2.69645968170942
67,other,-6.22208,4.59369105767047
68,other,-6.15486,-2.92513132113118e+104
69,other,-5.51786,4.53979920523367e+104
70,other,-5.22494,2.69645968170942
71,other,-3.8291,2.69645968170942
72,other,-3.4462,2.69645968170942
73,other,-2.61053,2.69645968170942
74,AFother,-0.00980999999999987,2.69645968170942
75,other,-1.57916,2.69645968170942
76,other,-0.64127,2.69645968170942
77,other,-3.6464,2.69645968170942
78,other,-2.99317,2.69645968170942
79,other,-2.71384,2.69645968170942
80,other,-1.92026,2.69645968170942
81,other,-0.35017,2.69645968170942
82,other,-3.25731,2.69645968170942
83,other,-5.64416,2.69645968170942
84,other,-4.93378,2.69645968170942
85,other,-4.44944,2.69645968170942
86,other,-2.06416,2.69645968170942
87,other,-1.32245,2.69645968170942
88,other,-1.22825,2.69645968170942
89,other,-1.1296,2.69645968170942
90,other,-0.0829500000000003,2.69645968170942
91,other,-1.56856,2.69645968170942
92,other,-1.46634,2.69645968170942
93,AFother,-0.12786,2.69645968170942
94,other,-2.21607,2.69645968170942
95,other,-3.86391,2.69645968170942
96,other,-2.58362,2.69645968170942
97,other,-2.57222,2.69645968170942
98,AFother,-1.21302,2.69645968170942
99,AFother,-1.08179,2.69645968170942
100,AF,-0.66953,2.69645968170942
101,AF,-0.27898,2.69645968170942
102,AFother,-5.0669,2.69645968170942
103,AF,-3.06942,2.69645968170942
104,AF,-2.90642,2.69645968170942
105,AF,-2.32278,2.69645968170942
106,AF,-1.94381,2.69645968170942
107,AFother,-1.57202,2.69645968170942
108,AFother,-1.40238,2.69645968170942
109,AFother,-0.24486,2.69645968170942
110,AF,-1.27896,2.69645968170942
111,AF,-0.75798,2.69645968170942
112,AF,-0.47046,2.69645968170942
113,AFother,-0.41603,2.69645968170942
114,AF,-1.03685,2.69645968170942
115,AF,-2.10466,2.69645968170942
116,AF,-1.95429,2.69645968170942
117,AF,-1.94823,2.69645968170942
118,AF,-1.77692,2.69645968170942
119,AF,-1.87923,2.69645968170942
120,AF,-1.56682,2.69645968170942
121,AF,-0.88356,2.69645968170942
122,AF,-0.2876,2.69645968170942
123,AF,-0.22628,2.69645968170942
124,AF,-1.27097,2.69645968170942
125,AF,-1.2529,2.69645968170942
126,AF,-0.98129,2.69645968170942
127,AF,-1.76804,2.69645968170942
128,AF,-2.86521,2.69645968170942
129,AF,-1.84282,2.69645968170942
130,AFother,-0.6473,2.69645968170942
131,AFother,-3.09707,2.69645968170942
67,other,-7.12231,4.739501207033
68,other,-6.61283,5.6374256022056e+113
69,other,-6.15723,8.84679334796465e+112
70,other,-4.34897,2.69645968170942
71,other,-3.96902,2.69645968170942
72,other,-3.33845,2.69645968170942
73,AFother,-0.128489999999999,2.69645968170942
74,other,-1.95552,2.69645968170942
75,other,-0.48213,2.69645968170942
76,other,-4.37078,2.69645968170942
77,other,-2.70839,2.69645968170942
78,other,-1.8159,2.69645968170942
79,other,-0.31309,2.69645968170942
80,other,-3.44819,2.69645968170942
81,other,-3.94729,2.69645968170942
82,other,-6.67542,2.69645968170942
83,other,-6.16114,2.69645968170942
84,other,-5.32416,2.69645968170942
85,other,-5.14689,2.69645968170942
86,other,-3.26803,2.69645968170942
87,other,-2.18821,2.69645968170942
88,other,-1.36694,2.69645968170942
89,other,-0.9719,2.69645968170942
90,other,-0.440469999999999,2.69645968170942
91,other,-2.93465,2.69645968170942
92,other,-2.46326,2.69645968170942
93,AFother,-0.288609999999999,2.69645968170942
94,other,-2.11094,2.69645968170942
95,other,-3.78449,2.69645968170942
96,other,-2.67586,2.69645968170942
97,other,-2.51641,2.69645968170942
98,other,-2.44364,2.69645968170942
99,AFother,-0.53899,2.69645968170942
100,AF,-0.24655,2.69645968170942
101,other,-2.26174,2.69645968170942
102,AFother,-5.40784,2.69645968170942
103,AF,-4.08521,2.69645968170942
104,AF,-2.49175,2.69645968170942
105,AF,-2.37995,2.69645968170942
106,AF,-1.9828,2.69645968170942
107,AF,-1.44304,2.69645968170942
