region,temp_diurnal_range,precip_seasonality,soil_pH,solar_radiation
inside_AF,99,54,59.2439765930176,15078.1669921875
inside_AF,97,60,48,14894.0830078125
inside_AF,106,64,50.7620468139648,14049.9169921875
inside_AF,99,62,51.8584327697754,14872.75
inside_AF,105,59,54,14509.75
inside_AF,89,48,48.3554229736328,15159
inside_AF,108,26,49.9969863891602,13984.3330078125
inside_AF,78,38,50.6777114868164,13169.3330078125
inside_AF,97,59,50.2951812744141,14042.9169921875
inside_AF,65,19,57.9698791503906,16701.916015625
inside_AF,78,44,47.8132514953613,13445.3330078125
inside_AF,84,39,49,12998.3330078125
inside_AF,93,30,50.7921676635742,13242.25
inside_AF,98,22,51,13208.3330078125
inside_AF,113,75,51,14175.9169921875
inside_AF,100,22,50.3674697875977,13405.25
inside_AF,107,76,50,14110.6669921875
inside_AF,113,66,53,14500.0830078125
inside_AF,108,58,58.225902557373,14954.75
inside_AF,94,48,51,13905.9169921875
inside_AF,100,63,50.147590637207,15121.5
inside_AF,95,48,50.2469863891602,15226.9169921875
inside_AF,111,64,53.2198791503906,14718.9169921875
inside_AF,100,52,51.9849395751953,13934.0830078125
inside_AF,114,19,53.4126510620117,14971.75
inside_AF,98,59,51,14137
inside_AF,112,64,53.2078323364258,15007.6669921875
inside_AF,117,29,55.7439765930176,15303.8330078125
inside_AF,112,19,51,14480.9169921875
inside_AF,80,37,53.5722885131836,14582.1669921875
inside_AF,103,29,51.3885536193848,13626.4169921875
inside_AF,105,29,51.6536140441895,13829.9169921875
inside_AF,82,34,49,12968.0830078125
inside_AF,111,12,50.8584327697754,13954.75
inside_AF,129,18,51,15096.6669921875
inside_AF,67,35,50,13994.6669921875
inside_AF,120,13,50.2439765930176,13711
inside_AF,121,12,49.2439765930176,13804.75
inside_AF,82,35,50.3042182922363,13180.4169921875
inside_AF,81,43,50.4427719116211,13368.8330078125
inside_AF,93,46,52.4608421325684,13181.25
inside_AF,111,31,52,13628.0830078125
inside_AF,92,12,51.8945770263672,13713.3330078125
inside_AF,121,14,51,13530.1669921875
inside_AF,84,44,50.4427719116211,13492.8330078125
inside_AF,100,30,50.4186744689941,13648.75
inside_AF,72,32,51,13507.3330078125
inside_AF,89,26,49.9367485046387,13756.5
inside_AF,117,12,49.1957817077637,14222.75
inside_AF,85,14,52.7771072387695,14179.9169921875
inside_AF,94,23,50,13484.5830078125
inside_AF,97,22,49.2349395751953,13333.5
inside_AF,114,19,50.2439765930176,13218
inside_AF,132,18,51,15132.75
inside_AF,114,12,51,14436.9169921875
inside_AF,82,13,53.8825302124023,14208.1669921875
inside_AF,104,14,50.9969863891602,14919.6669921875
inside_AF,116,25,50.9337348937988,14079.6669921875
inside_AF,96,30,50.4066276550293,13469.0830078125
inside_AF,123,15,50.4518089294434,14366.1669921875
inside_AF,75,11,50.8584327697754,14032.6669921875
inside_AF,73,42,47.8704833984375,13654
inside_AF,124,68,50.8644561767578,14358.9169921875
inside_AF,120,11,51.225902557373,14238.75
inside_AF,125,33,56.3042182922363,15230.8330078125
inside_AF,111,13,50,13839.5830078125
inside_AF,66,18,49.9578323364258,14508.5830078125
inside_AF,117,26,50.5451812744141,14177.9169921875
inside_AF,100,55,52.6927719116211,13859.0830078125
inside_AF,125,28,53.5933723449707,14782.5830078125
inside_AF,112,26,56.3825302124023,15295.3330078125
inside_AF,87,10,50.1234931945801,13847
inside_AF,74,41,50,13291.1669921875
inside_AF,136,25,53.6174697875977,15439.25
inside_AF,124,21,51,13242.4169921875
inside_AF,69,34,50.0753021240234,13587.5830078125
inside_AF,135,14,53,15374.1669921875
inside_AF,116,16,51,14856.9169921875
inside_AF,110,12,51.9006042480469,14367.4169921875
inside_AF,125,9,52,15268.4169921875
inside_AF,112,25,50.9728927612305,14079.1669921875
inside_AF,108,12,49.9006042480469,13932.9169921875
inside_AF,129,76,50.3253021240234,14660.9169921875
inside_AF,94,29,49.3795166015625,13201
inside_AF,96,11,52.1234931945801,14489.4169921875
inside_AF,121,27,48,13583.4169921875
inside_AF,97,11,53.0813255310059,14410.5830078125
inside_AF,81,45,50,13481.6669921875
inside_AF,116,86,54,14465.3330078125
inside_AF,112,79,52,14778.25
inside_AF,126,78,51,14726.75
inside_AF,108,75,52,14496
inside_AF,76,37,51.4277114868164,13042.5830078125
inside_AF,98,54,52.6445770263672,14014.9169921875
inside_AF,123,71,50,14864.3330078125
inside_AF,100,30,50.4487953186035,13791.5
inside_AF,114,67,50.475902557373,14961.0830078125
