state,age,central,dispersion
AF,-7.860739,178.983536069699,NA
AF,-6.652933,85.0361605676661,4.95803305005888
AF,-5.445127,80.3624469163554,2.51055774397579
AF,-4.237321,82.0345583205817,0.873475987031306
AF,-3.029515,79.7422096646825,0.490725341099741
AF,-1.821709,76.8577083958913,0.558052658873542
AF,-0.613903,75.5984045211544,0.879498960970328
AFother,-9.068545,169.650306371308,23.1874892013765
AFother,-7.860739,133.607251030287,27.3213918052746
AFother,-6.652933,102.346615911082,8.4889708704837
AFother,-5.445127,93.5079443859625,4.15902976364911
AFother,-4.237321,91.5365588080125,9.06049383882319
AFother,-3.029515,91.2166767551276,7.43544061553634
AFother,-1.821709,87.427729096755,2.58420644762351
AFother,-0.613903,95.5938364152772,2.38103772860784
other,-11.484157,228.990994632916,9.43808577858631
other,-10.276351,168.325604668575,10.4856349956241
other,-9.068545,162.704042472045,15.6255505386629
other,-7.860739,135.444805444417,6.38978809212952
other,-6.652933,127.353269249087,4.13044034262991
other,-5.445127,115.884200559921,2.84546372545274
other,-4.237321,109.343061908114,2.24024795333481
other,-3.029515,114.189273183666,2.16641979005844
other,-1.821709,113.1833303011,2.32396804018661
other,-0.613903,102.884208281941,2.54809961954113
