species,precip_seasonality,temp_diurnal_range,soil_pH,solar_radiation
albicans,80.2800850726132,141.361446243013,55.4571456127,15968.6979993434
albicans,54.6144859420172,130.588389692113,53.5392802852162,14794.4999784883
albicans,76.4774592836634,107.967479701528,53.2520048792599,15863.95810107
albicans,81.7854677599109,119.47834453781,52.0991905598516,15455.0054757944
albicans,65.4731693069606,121.615448386586,53.2315837482897,15245.2398852396
albicans,82.2038541890665,104.05642045394,57.2808545135276,16375.3906663791
albicans,44.0524054773274,93.0161364358445,45.4013245264517,18315.0193460111
albicans,63.8662384642333,122.950180828222,50.7031417085331,15373.9114151195
albicans,72.7926449079256,119.960478895345,54.9120246814663,16284.8174735199
albicans,80.4116510867922,111.232409919536,53.2449979185608,14263.374571772
albicans,17.9810130676636,65.6766843127158,52.7317748930258,17081.8461890036
albicans,76.9383078152241,124.186771657336,51.960493241302,16524.5146094504
albicans,83.2227552214807,124.590461053902,52.2813192352542,14899.2759403105
albicans,84.7277124077888,121.094133889132,54.7297397270742,15905.2604644354
albicans,67.3143123141328,117.130900855175,53.2578181783452,15133.6366750004
albicans,66.9607712668537,134.065182636166,46.6665340280453,14932.6271407305
albicans,90.3901601625937,118.386328607845,56.0484074227079,15900.8406342882
albicans,67.4119874224927,64.4147850163738,53.3354287295352,19078.1406520503
albicans,52.487867667121,91.7520165432581,48.0516106702234,17641.9382919941
albicans,64.6736023359998,82.1001539628656,63.2297055983289,18387.8244695962
albicans,61.8772920310352,110.673509431423,53.6125391987238,14783.9678966537
albicans,77.1031095730774,120.026575047521,53.6737224428213,15862.0434164934
albicans,72.2354327593817,127.801152193937,49.8976007940137,15523.8803177373
albicans,54.6956182208555,90.6458237708833,63.3362895680083,18815.7988597926
albicans,76.744218462286,137.648136440147,46.9733943971023,15026.4099928387
albicans,66.3181340728903,119.423604966212,54.5966511123567,15336.4212425236
albicans,84.0168198428189,136.51818002609,52.9037308334807,16103.0353176849
albicans,72.1217953366355,128.48407344262,54.6904024904448,14759.899399344
albicans,83.644932389386,131.926225471437,56.646729054715,16311.7662616677
albicans,70.248710523336,129.898648298416,48.9261410106838,14626.2250057698
albicans,79.5079609819244,111.171850914201,51.7474031064118,15309.4353892389
albicans,65.6552924114879,127.57195268803,50.9727500778686,14202.6310509566
albicans,41.0148691525285,119.172243814666,54.3800434092803,14577.8722680346
albicans,73.7737048413138,115.816362577312,54.8021755443738,15737.344965917
albicans,82.9406304989891,106.286001416682,54.9536821547122,16658.491587347
albicans,76.0812195065352,113.926412019107,50.8878913481745,14711.9226501618
albicans,66.4002426474733,81.6086751527088,63.1448661638355,18326.263144736
albicans,69.1132070497019,131.6959106822,54.7921912704445,14888.6567843893
albicans,62.5718526600085,121.446098785334,54.7003814609444,15524.6670832875
albicans,73.1893023436901,113.863895580262,55.4754830016573,16075.8061175039
albicans,77.1905270409163,126.947153706494,55.5637849225297,15613.7048782444
albicans,65.8101251450441,114.820864499269,54.5280990695968,15295.414863927
albicans,77.9823612887654,104.832742290849,56.4258625144172,16082.2897258909
albicans,21.5734663336946,77.4149751258188,58.851967301234,16086.1419218586
albicans,68.4226050705264,128.975130063124,48.9601196126174,14933.8201874619
albicans,80.4536328165907,110.139791690305,51.7367080641787,15513.8993705543
albicans,68.6023410763232,128.313060488386,53.5450134180416,15239.0095144703
albicans,76.971948549269,136.687976242021,48.472472632253,14961.2466582673
albicans,85.3519486669806,113.389597846522,59.1892436823952,17116.0129878275
albicans,72.7211123359172,118.614613641956,51.4719016717465,15821.2151470968
albicans,72.2536618044874,121.954482164664,54.7644887668959,15733.955055249
albicans,67.9155698758345,135.335132045183,48.1712675058274,14471.1342481154
albicans,49.7068221826033,84.2295039427555,45.7080556680697,15764.6228891754
albicans,73.4688412329562,107.123981434502,55.6244845657849,16672.3988840266
albicans,63.08025839063,78.1910149353375,63.6741381866684,18470.6469155271
albicans,74.8924474159312,120.209478279543,52.1636310581996,14553.93995892
albicans,63.8442089558322,117.386923948293,54.2368354559647,15213.0526618477
albicans,79.9864843687942,135.878515367968,53.2294128774286,15500.7485249472
albicans,52.3766545157373,90.3782824645114,44.5774154637647,15728.652617743
albicans,56.7110532767238,108.30286609126,51.3754424460883,14606.297502998
albicans,65.2901794658081,132.177860819368,54.690781550882,14534.9544489039
albicans,78.0370341699242,99.7340435413132,54.9234402984631,16503.2419071825
albicans,91.472855622358,125.898542024775,55.8787530969381,15863.7122694201
albicans,69.3500337489439,115.562599008071,54.6019234594624,14803.0136867182
albicans,80.3789588014496,130.297722916442,53.7016135286055,15111.9691089447
albicans,82.2047064336534,111.373068023557,52.2262613315981,14808.3470794899
albicans,80.9252716836976,119.071328364128,51.691566229387,16103.9202023802
albicans,79.0920359589185,113.99054312674,53.2237182088767,14792.0415876361
albicans,77.9653369546976,135.468732928735,53.0661562238026,15510.0799297057
albicans,71.4258661313002,132.096145225346,53.8110430555882,15736.8907898065
albicans,76.3199239843721,132.739447958601,47.7040530504746,15083.4529998926
albicans,62.5162232743011,124.736370575013,53.0454843487863,15262.4416951057
albicans,73.0766865737787,123.569462763932,54.9916064214417,14789.5287176811
albicans,75.3855644945659,127.401616202502,54.9865850382197,15470.561578226
albicans,58.4739145166165,112.688284995178,62.6728184215195,15522.8156744855
albicans,70.9334445265431,127.846236510382,53.2533342600222,14516.8216530578
albicans,67.7242420519975,131.281717435369,50.2077520809361,15681.0505974981
albicans,75.6265241997663,132.22829544091,48.7445269062194,15712.5994745002
albicans,62.0492978976777,91.2368689950692,64.777013212838,19020.2737109344
