longitude,latitude,domains
-48.69,-27.81,AF
-53.2816667,-26.2822223,AF
-51.9747223,-27.3138889,AF
-51.1627778,-27.6333333,AF
-53.586894,-27.085056,AF
-49.4972222,-28.5291667,AF
-50.5786111,-27.6319445,AF
-44.603744,-21.984939,AF
-48.6905555,-27,AF
-51.454563,-29.176827,AF
-50.331482,-25.856132,AF
-50.361965,-28.881203,AF
-48.715435,-25.442076,AF
-43.499255,-19.917942,AF
-43.527222,-20.463056,AF
-44.682278,-21.590694,AF
-43.785957,-21.30184,AF
-48.66539,-26.363671,AF
-46.7725,-23.663056,AF
-44.871864,-22.53297,AF
-49.100588,-25.225484,AF
-44.9597,-23.0744,AF
-48.8702778,-28.1694445,AF
-43.592558,-20.038327,AF
-47.118344,-23.530901,AF
-52.816084,-23.88625,AF
-51.358924,-23.291409,AF
-51.204698,-23.317178,AF
-51.174262,-22.981501,AF
-48.818297,-24.696227,AF
-46.907512,-23.018769,AF
-53.408603,-23.86922,AF
-53.843598,-25.155287,AF
-47.014141,-22.967357,AF
-46.935556,-23.230278,AF
-47.431182,-21.850732,AF
-46.40461,-23.190559,AF
-47.47442,-22.357523,AF
-48.641481,-23.805347,AF
-54.3562,-25.5962,AF
-48.924444,-21.223611,AF
-45.854239,-22.954083,AF
-45.334266,-23.845587,AF
-48.6,-24.444444,AF
-45.135981,-23.350391,AF
-39.823694,-18.282278,AF
-47.841574,-24.531603,AF
-47.876943,-24.675832,AF
-49.1758334,-26.5522222,AF
-48.78,-26.0086111,AF
-48.923964,-27.124971,AF
-46.824167,-24.041111,AF
-45.522847,-23.10806,AF
-41.573124,-20.372027,AF
-43.34816,-18.39868,AF
-48.211126,-25.287659,AF
-48.786207,-25.382713,AF
-45.739264,-22.268598,AF
-42.082,-16.918181,out
-45.117,-23.417,AF
-44.7875,-23.303889,AF
-40.510556,-19.823611,AF
-44.811552,-21.53559,AF
-45.698889,-23.637778,AF
-40.774924,-19.797048,AF
-40.8799,-20.4146,AF
-40.981111,-19.741389,AF
-39.408056,-15.202778,AF
-42.478729,-20.714414,AF
-44.624212,-21.476275,AF
-43.666667,-20.666667,AF
-39.468889,-13.447778,AF
-46.743204,-23.986286,AF
-47.242058,-24.545629,AF
-48.869902,-25.928931,AF
-49.4105556,-27.3605556,AF
-45.8,-23.316667,AF
-50.117472,-29.171141,AF
-51.339345,-29.201715,AF
-49.391944,-25.747222,AF
-49.633333,-25.466667,AF
-50.854669,-29.311825,AF
-50.454084,-28.716379,AF
-53.877087,-29.633345,out
-48.881678,-24.937913,AF
-50.926111,-28.263333,AF
-49.138977,-25.815208,AF
-49.4108333,-27.6291667,AF
-45.560394,-22.608784,AF
-49.778416,-25.743561,AF
-51.651381,-25.671285,AF
-50.108583,-28.490111,AF
-50.350576,-27.791303,AF
-43.4042,-18.5578,AF
-51.193207,-28.047098,AF
-49.152078,-25.590038,AF
-51.548523,-27.023077,AF
-46.646181,-23.892913,AF
-50.129444,-26.999444,AF
-47.55,-22.566667,AF
-48.961944,-25.888056,AF
-44.660533,-22.764317,AF
-48.954444,-26.039167,AF
-49.5094444,-27.2822223,AF
-44.566667,-22.416667,AF
-48.7808334,-27.81,AF
-49.0283334,-27.2644444,AF
-48.844524,-25.232705,AF
-45.654846,-22.684688,AF
-40.8556,-19.8019,AF
-39.163566,-14.264935,AF
-39.4592,-13.8908,AF
-43.828333,-22.803056,AF
-43.982725,-20.710864,AF
-45.407483,-20.455965,AF
-43.978642,-20.196825,AF
-43.778,-19.877,AF
-44.80823,-22.359081,AF
-41.808251,-20.548707,AF
-42.562747,-22.204393,AF
-46.7,-23.583333,AF
-46.945445,-23.714883,AF
-42.956954,-21.430238,AF
-49.2243,-26.1502,AF
-48.4,-24.3,AF
-40.687075,-14.867597,AF
-44.635556,-22.4375,AF
-42.39,-22.41,AF
-39.663333,-13.156111,AF
-44.728081,-22.912411,AF
-48.717856,-24.856149,AF
-43.249763,-19.58372,AF
-41.193212,-20.895144,AF
-44.582222,-22.664722,AF
-39.631389,-16.838611,AF
-34.948442,-8.005063,out
-40.697222,-20.043333,AF
-47.109603,-22.821541,AF
-40.534722,-19.3325,AF
-46.175321,-23.430883,AF
-40.071,-19.3213,AF
-39.5815229,-17.0363517,AF
-43.318565,-21.746825,AF
-43.291,-22.422,AF
-44.745085,-21.992837,AF
-48.7619444,-27.8788889,AF
-48.87,-27.63,AF
-48.6894444,-27.5402777,AF
-43.894807,-20.087486,AF
-34.941667,-7.941667,out
-34.808611,-7.470833,out
-34.855056,-7.367861,out
-35.671997,-9.587351,AF
-40.766427,-19.479637,AF
-47.431955,-22.019483,AF
-51.780276,-20.97377,out
-38.030924,-12.576073,AF
-38.983314,-14.108132,AF
-35.142814,-6.389763,out
-36.049232,-8.985084,out
-35.250925,-8.971988,AF
-39.371809,-12.915732,AF
-39.358786,-17.116127,AF
-38.6372,-12.784585,AF
-40.070526,-19.153149,AF
-41.033475,-20.071025,AF
-46.392499,-23.450701,AF
-37.853611,-12.151944,AF
-35.156481,-7.04171,out
-49.493986,-21.403651,AF
-38.930556,-13.943056,AF
-39.045278,-13.694722,AF
-37.6,-11.8,out
-50.223314,-24.909193,AF
-39.920556,-18.850278,AF
-49.65853,-24.203251,out
-46.741279,-23.372511,AF
-40.409209,-20.591903,AF
-38.433333,-12.133333,out
-45.465832,-23.184885,AF
-41.812568,-19.729407,AF
-40.647778,-19.022778,AF
-38.993109,-15.359785,AF
-39.29139,-17.802777,AF
-36.076904,-9.78069,AF
-38.483333,-12.5,AF
-36.511489,-8.888694,out
-43.233333,-22.516667,AF
-43.323234,-22.68022,AF
-35.615143,-8.663584,AF
-40.210771,-20.212469,AF
-40.262999,-20.111442,AF
-40.0722,-19.3911,AF
-37.084583,-10.964444,AF
-37.979444,-12.374444,AF
-43.884444,-20.181944,AF
-49.3925,-21.860278,AF
-51.407222,-20.361111,AF
-48.303611,-18.606389,AF
-35.824439,-9.563328,AF
-34.980118,-7.591641,out
-35.262222,-6.388889,out
-37.2081,-10.4583,AF
-37.350139,-11.100917,out
-44.881846,-21.342355,AF
-44.65,-22.633333,AF
-43.193716,-20.378583,AF
-50.225556,-24.13474,AF
-37.19164,-10.5323,AF
-49.566667,-20.866667,AF
-44.466667,-19.883333,AF
-45.020278,-21.753056,AF
-49.393889,-21.391111,AF
-47.0202,-23.1028,AF
-34.985711,-7.706258,out
-35.723727,-8.860611,AF
-35.608367,-9.491182,AF
-47.168,-21.281,AF
-37.148333,-10.688611,AF
-43.560811,-22.595597,AF
-43.2075,-22.9028,AF
-40.327778,-20.426944,AF
-45.17342,-23.491844,AF
-43.439895,-20.336513,AF
-38.359444,-12.065,out
-45.86817,-23.244839,AF
-46.770772,-23.598555,AF
-39.138239,-14.803816,AF
-40.376944,-19.889444,AF
-39.25,-16.5,AF
-35.697958,-8.576858,out
-35.913415,-9.616854,AF
-35.870639,-9.214444,AF
-39.2803,-14.7858,AF
-39.576198,-16.472607,AF
-39.961104,-19.138966,AF
-39.8589,-18.7161,AF
-39.331389,-13.913889,AF
-34.881111,-8.054167,out
-39.466667,-13.683333,AF
-39.1814,-15.0684,AF
-39.140614,-14.622056,AF
-39.341667,-15.173611,AF
-35.95,-9.255833,AF
-39.207222,-17.019444,AF
-35.888806,-8.801082,AF
-35.531767,-9.23,AF
-39.6325,-13.618889,AF
-39.210827,-16.09722,AF
-35.185833,-8.723056,AF
-35.023611,-7.790833,AF
-35.793898,-8.790555,AF
-39.069167,-14.781944,AF
-35.529981,-9.43466,AF
-44.3527793884,-21.4727802277,AF
-40.2664,-20.2667,AF
-36.378889,-9.9425,out
-35.142056,-6.741861,out
-39.20924,-14.795947,AF
-46.609226,-23.587045,AF
-47.846843,-23.373602,AF
-46.644319,-23.510765,AF
-38.9439583,-13.6189611,AF
-39.245,-17.614444,AF
-48.115682,-18.791726,AF
-38.666386,-13.001059,AF
-35.822697,-9.5,AF
-47.628492,-23.431664,AF
-45.040636,-21.139632,AF
-42.8075,-22.561389,AF
-47.256819,-22.846742,AF
-44.955546,-21.726831,AF
-43.867648,-20.457641,AF
-36.558841,-9.944949,out
-44.06562,-20.70469,AF
-43.722613,-20.356864,AF
-44.269138,-19.933904,AF
-45.045556,-23.195833,AF
-40.780556,-20.067222,AF
-45.945278,-23.330333,AF
-41.709618,-20.892169,AF
-45.691551,-22.065743,AF
-43,-21.7,AF
-40.129,-14.411,AF
-42.436111,-22.327222,AF
-41.4131,-20.4642,AF
-41.259795,-20.379686,AF
-45.954444,-22.910833,AF
-40.113093,-13.949583,AF
-47.1,-23.966667,AF
-49.680392,-27.180222,AF
-46.196521,-23.498413,AF
-41.688269,-20.62137,AF
-47.550861,-24.027917,AF
-44.566667,-22.25,AF
-47.04905,-24.071539,AF
-43.626918,-21.520777,AF
-49.416881,-25.592561,AF
-48.751111,-25.243889,AF
-48.576588,-27.172676,AF
-50.612879,-23.924901,AF
-52.312389,-24.107694,AF
-53.639972,-25.056361,AF
-51.845306,-25.930167,AF
-51.555,-24.970444,AF
-52.573889,-24.505389,AF
-49.413611,-24.566944,AF
-51.593056,-26.305833,AF
-45.539482,-22.71112,AF
-49.0977777,-26.2238889,AF
-50.7616667,-27.4508333,AF
-50.9408333,-27.4494444,AF
-52.1997222,-26.9997222,AF
-52.5641667,-26.4605556,AF
-49.799981,-29.232543,AF
-49.217649,-25.295569,AF
-48.669111,-27.232866,AF
-46.1447,-22.7553,AF
-50.902716,-24.193433,AF
-49.3388889,-26.6036111,AF
-50.31,-26.73,AF
-50.6744445,-26.8197223,AF
-50.5802778,-26.3813889,AF
-51.188611,-27.930278,AF
-53.520689,-26.755259,AF
-49.0553,-25.3058,AF
-54.348919,-24.852192,AF
-49.053033,-25.439593,AF
-49.541704,-25.689504,AF
-48.55768,-25.247709,AF
-50.64097,-28.65425,AF
-45.936667,-22.713889,AF
-49.7380555,-27.5936111,AF
-50.694928,-24.393714,AF
-51.0147,-26.7756,AF
-49.8053,-26.1117,AF
-49.3208334,-28.8902777,out
-50.94,-27.36,AF
-49.5,-28.62,AF
-49.48239,-25.33061,AF
-44.252123,-21.141217,AF
-45.299991,-22.599987,AF
-49.280742,-25.560345,AF
-50.959388,-25.296854,AF
-52.4246,-25.405952,AF
-49.2127778,-27.1180556,AF
-43.397161,-23.010952,AF
-51.403674,-28.995914,out
